date,overseas,local_contact,local_unknown,under_investigation,total
25/01/2020,1,0,0,0,1
26/01/2020,0,0,0,0,0
27/01/2020,0,0,0,0,0
28/01/2020,1,0,0,0,1
29/01/2020,0,0,0,0,0
30/01/2020,1,0,0,0,1
31/01/2020,1,0,0,0,1
1/02/2020,0,0,0,0,0
2/02/2020,0,0,0,0,0
3/02/2020,0,0,0,0,0
4/02/2020,0,0,0,0,0
5/02/2020,0,0,0,0,0
6/02/2020,0,0,0,0,0
7/02/2020,0,0,0,0,0
8/02/2020,0,0,0,0,0
9/02/2020,0,0,0,0,0
10/02/2020,0,0,0,0,0
11/02/2020,0,0,0,0,0
12/02/2020,0,0,0,0,0
13/02/2020,0,0,0,0,0
14/02/2020,0,0,0,0,0
15/02/2020,0,0,0,0,0
16/02/2020,0,0,0,0,0
17/02/2020,0,0,0,0,0
18/02/2020,0,0,0,0,0
19/02/2020,0,0,0,0,0
20/02/2020,0,0,0,0,0
21/02/2020,0,0,0,0,0
22/02/2020,2,0,0,0,2
23/02/2020,0,0,0,0,0
24/02/2020,0,0,0,0,0
25/02/2020,1,0,0,0,1
26/02/2020,0,0,0,0,0
27/02/2020,0,0,0,0,0
28/02/2020,0,0,0,0,0
29/02/2020,0,0,0,0,0
1/03/2020,2,0,0,0,2
2/03/2020,0,0,0,0,0
3/03/2020,0,0,0,0,0
4/03/2020,1,0,0,0,1
5/03/2020,0,0,0,0,0
6/03/2020,1,0,0,0,1
7/03/2020,1,0,0,0,1
8/03/2020,2,0,0,0,2
9/03/2020,3,0,0,0,3
10/03/2020,1,1,0,0,2
11/03/2020,4,1,0,0,5
12/03/2020,9,0,1,0,10
13/03/2020,12,3,0,0,15
14/03/2020,4,1,0,0,5
15/03/2020,7,0,0,0,7
16/03/2020,13,3,1,0,17
17/03/2020,29,8,0,0,37
18/03/2020,23,7,0,0,30
19/03/2020,24,8,1,0,33
20/03/2020,32,10,1,0,43
21/03/2020,35,9,2,0,46
22/03/2020,51,19,3,0,73
23/03/2020,39,17,0,0,56
24/03/2020,49,11,4,0,64
25/03/2020,44,11,3,0,58
26/03/2020,33,17,4,0,54
27/03/2020,72,27,7,0,106
28/03/2020,49,23,6,0,78
29/03/2020,23,28,3,0,54
30/03/2020,42,41,5,0,88
31/03/2020,24,23,11,0,58
1/04/2020,27,27,9,0,63
2/04/2020,20,34,5,0,59
3/04/2020,11,8,3,0,22
4/04/2020,9,17,3,0,29
